timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;181289
messages-total;0;4;26;26;28;28;28;62;62;67;67;67;67;97;97;102;102;102;102;116;116;119;119;119;119;131;131;133;133;133;133;149;149;151;151;151;151;181
messages-soc-temperature;0;0;1;1;1;1;1;2;2;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6
messages-printer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
messages-soc-motion;0;0;2;2;2;2;2;5;5;5;5;5;5;7;7;7;7;7;7;9;9;9;9;9;9;10;10;10;10;10;10;12;12;12;12;12;12;14
messages-soc-alarm;0;0;2;2;3;3;3;6;6;6;6;6;6;8;8;8;8;8;8;10;10;10;10;10;10;11;11;12;12;12;12;14;14;15;15;15;15;17
messages-soc-humidity;0;0;2;2;2;2;2;5;5;5;5;5;5;7;7;7;7;7;7;9;9;10;10;10;10;11;11;11;11;11;11;13;13;13;13;13;13;15
messages-soc-door-lock;0;0;1;1;1;1;1;3;3;3;3;3;3;6;6;6;6;6;6;7;7;7;7;7;7;9;9;9;9;9;9;10;10;10;10;10;10;13
messages-server;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
messages-iot-controller;0;4;13;13;14;14;14;28;28;29;29;29;29;43;43;44;44;44;44;48;48;49;49;49;49;54;54;55;55;55;55;60;60;61;61;61;61;75
messages-soc-gate;0;0;2;2;2;2;2;7;7;7;7;7;7;10;10;10;10;10;10;13;13;14;14;14;14;16;16;16;16;16;16;20;20;20;20;20;20;23
messages-soc-smoke;0;0;1;1;1;1;1;2;2;3;3;3;3;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6
