timestamps;0;5000;10000;15000;20000;25000;30000;35000;40000;45000;50000;55000;60000;65000;70000;75000;80000;85000;90000;95000;100000;105000;110000;115000;120000;125000;130000;135000;140000;145000;150000;155000;160000;165000;170000;175000;180000;185000;190000;195000;200000;205000;210000;215000;220000;225000;230000;235000;240000;245000;250000;255000;260000;265000;270000;275000;280000;285000;290000;295000;300000;305000;310000;315000;320000;325000;330000;335000;340000;345000;350000;355000;360000;365000;370000;375000;380000;385000;390000;395000;400000;405000;410000;415000;420000;425000;430000;435000;440000;445000;450000;453855
messages-total;0;639;1022;1064;1105;1117;1120;1120
proposals-total;0;0;19;112;196;228;239;239
riskCount-global;8;8;8;8;8;8;8;8
riskCount-total;0;0;10;28;39;42;43;43
riskUnique-global;25;25;25;25;25;25;25;25
riskUnique-total;0;0;5;13;13;13;13;13
riskDamage-global;636,01;636,01;636,01;636,01;636,01;636,01;636,01;636,01
auctioning-time-global;0;0;3940;120333;160142;172271;176312;176312
migrating-time-global;0;0;0;0;0;0;0;0

